DrugID,Cluster
6,6
7,6
7,6
7,6
8,6
8,6
8,6
8,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
72,6
82,6
82,6
82,6
82,6
82,6
82,6
82,6
86,6
86,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
104,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
107,6
115,6
115,6
115,6
115,6
115,6
115,6
115,6
115,6
115,6
115,6
115,6
115,6
115,6
115,6
115,6
